Nom table;Identifiant BDD;Donnée obligatoire;Type de donnée;Table de références;Table de référence à appeler pour ce champ;Champ récupéré;Modèle concerné;Description
dpe;ancien_dpe_id; ; ;dpe; ; ;tous;N° du DPE remplacé le cas échéant
dpe;anonymise;X;Booléen; ; ; ;tous;Indique si les données du DPE ont été anonymisées
dpe;date_etablissement_dpe; ;Date; ; ; ;tous;Date d'établissement du DPE
dpe;date_reception_dpe;X;Date; ; ; ;tous;Date de réception du DPE
dpe;desactive; ;Booléen; ; ; ;tous;Indique si le DPE est actif (desactive=false) ou non (desactive=true)
dpe;dpe_remplacant_id; ; ;dpe; ; ;tous;Indique si le DPE a été remplacé et par quel autre DPE
dpe;dpe_xml_path; ;Texte; ; ; ;tous;Chemin du répertoire de stockage du XML
dpe;enum_type_energie_chauffage_principal_id; ; ;dpe_enum_type_energie;dpe_enum_type_energie;lib;tous;type d'énergie consommée par le chauffage principal
dpe;enum_type_energie_ecs_principal_id; ; ;dpe_enum_type_energie;dpe_enum_type_energie;lib;logement + logement neuf;type d'énergie consommée par le type d'ecs principal
dpe;generateur_chauffage_principal_id; ; ;dpe_generateur_chauffage;dpe_enum_type_generateur_ch (via dpe_generateur_chauffage_id --> enum_type_generateur_ch_id);lib;tous;Type de générateur de chauffage principal
dpe;generateur_ecs_principal_id; ; ;dpe_generateur_ecs;dpe_enum_type_generateur_ecs (via dpe_generateur_ecs_id --> enum_type_generateur_esc_id); ;tous;Identifiant technique du générateur d'ecs principal calculé à l'insertion
dpe;hashkey; ;Texte; ; ; ;tous;Clé de hachage
dpe;id;X; ; ; ; ;tous;Identifiant technique du DPE
dpe;identifiant_dpe; ;Texte; ; ; ;tous;Numéro du DPE
dpe;is_dpe_2012;X;Booléen; ; ; ;tous;Indique si le DPE a été reçu sur l'observatoire version 2012
dpe;statut; ;Texte; ; ; ;tous;Statut du DPE
dpe;suppression_en_cours; ;Booléen; ; ; ;tous;Indique si le DPE fait l'objet d'une demande de suppression
dpe;version;X;Texte; ; ; ;tous;Version du logiciel utilisé dans la transmission du DPE
dpe;version_moteur_used; ;Texte; ; ; ;tous;Version du moteur de calcul 
dpe;version_xsd_used; ;Texte; ; ; ;tous;Version du XSD 
dpe;xml_hash; ; ; ; ; ;tous;Hash de la chaine de caractère modélisant le xml
dpe;date_derniere_modification;X;Date; ; ; ;tous;Date de dernière modification de l'enregistrement
dpe_administratif;date_etablissement_dpe;X;Date; ; ; ;tous;date de l'établissement du dpe
dpe_administratif;date_fin_validite_dpe;X;Date; ; ; ;tous;Date de fin de validité du DPE
dpe_administratif;date_visite_diagnostiqueur;X;Date; ; ; ;tous;date de visite du diagnostiqueur
dpe_administratif;dpe_a_remplacer; ;Texte; ; ; ;tous;numéro du DPE à remplacer dans le cas d'une opération de remplacement du DPE
dpe_administratif;dpe_id;X; ;dpe; ; ;tous;Identifiant technique du DPE
dpe_administratif;dpe_immeuble_associe; ;Texte; ; ; ;tous;numéro du DPE immeuble associé au DPE logement utilisant la méthode de génération des DPE à l'appartement à partir du DPE immeuble
dpe_administratif;enum_modele_dpe_id;X; ;dpe_enum_modele_dpe;dpe_enum_modele_dpe;lib;tous;modèle de dpe (3CL logement / tertiaire ou neuf)
dpe_administratif;enum_version_id;X; ;dpe_enum_version; ; ;tous;version du DPE. Pour gérer toute future évolution du dispositif et du modèle de données sous jacent (ex. modification des tv reseau de chaleur)
dpe_administratif;motif_remplacement; ;Texte; ; ; ;tous;motif du remplacement du DPE
dpe_administratif;reference_interne_projet; ;Texte; ; ; ;tous;motif du remplacement du DPE : texte libre
dpe_administratif;migre_en_utc;X;Booléen; ; ; ;tous;Indique si les dates de la table ont été migrées au format UTC
dpe_administratif;date_derniere_modification;X;Date; ; ; ;tous;Date de dernière modification de l'enregistrement
dpe_apport_et_besoin;apport_interne_ch;X;Numérique; ; ; ;logement;apports internes totaux durant la saison de chauffe Ai (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;apport_interne_fr;X;Numérique; ; ; ;logement;apports internes totaux durant la saison de froid Ai (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;apport_solaire_ch;X;Numérique; ; ; ;logement;apports solaires totaux durant la saison de chauffe As (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;apport_solaire_fr;X;Numérique; ; ; ;logement;apports solaires totaux durant la saison de froid As (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;besoin_ch;X;Numérique; ; ; ;logement + logement neuf;besoin de chauffage annuel total du logement ou immeuble (kWh) . Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;besoin_ch_depensier;X;Numérique; ; ; ;logement;besoin de chauffage total du bâtiment  pour le scénario dépensier  (kWh) (DH21). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;besoin_ecs;X;Numérique; ; ; ;logement + logement neuf;besoin d'ecs annuel total du bâtiment (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;besoin_ecs_depensier;X;Numérique; ; ; ;logement;besoin d'ecs total du bâtiment  pour le scénario dépensier  (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;besoin_fr;X;Numérique; ; ; ;logement + logement neuf;besoin de refroidissement annuel (kWh).Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;besoin_fr_depensier;X;Numérique; ; ; ;logement;besoin de refroidissement annuel pour le scénario dépensier (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;dpe_id;X; ;dpe; ; ;logement + logement neuf;Identifiant technique du DPE
dpe_apport_et_besoin;fraction_apport_gratuit_ch;X;Numérique; ; ; ;logement;fraction des apports gratuits sur la saison de chauffe F. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;fraction_apport_gratuit_depensier_ch;X;Numérique; ; ; ;logement;fraction des apports gratuits sur la saison de chauffe F pour le scénario dépensier (DH21). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;nadeq;X;Numérique; ; ; ;logement;nombre d'adulte équivalent calculés pour le besoin d'ECS. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;pertes_distribution_ecs_recup;X;Numérique; ; ; ;logement;pertes de distribution d'ECS récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;pertes_distribution_ecs_recup_depensier;X;Numérique; ; ; ;logement;pertes de distribution d'ECS récupérées(kWh) pour le scénario dépensier. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;pertes_generateur_ch_recup;X;Numérique; ; ; ;logement;pertes des générateurs de chauffage récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;pertes_generateur_ch_recup_depensier;X;Numérique; ; ; ;logement;pertes des générateurs de chauffage récupérées(kWh) pour le scénario dépensier. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;pertes_stockage_ecs_recup;X;Numérique; ; ; ;logement;pertes de stockage d'ECS récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;surface_sud_equivalente;X;Numérique; ; ; ;logement;surface sud équivalente. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
dpe_apport_et_besoin;v40_ecs_journalier;X;Numérique; ; ; ;logement;consommation en l d'ecs à 40°C sur une journée. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;v40_ecs_journalier_depensier;X;Numérique; ; ; ;logement;consommation en l d'ecs à 40°C sur une journée scénario dépensier. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
dpe_apport_et_besoin;date_derniere_modification;X;Date; ; ; ;tous;Date de dernière modification de l'enregistrement
dpe_baie_ets;description;Parfois;Texte; ; ; ;logement;description textuelle de l'objet
dpe_baie_ets;enum_inclinaison_vitrage_id;X; ;dpe_enum_inclinaison_vitrage; ; ;logement;inclinaison du vitrage
dpe_baie_ets;enum_orientation_id;X; ;dpe_enum_orientation; ; ;logement;orientation de la baie
dpe_baie_ets;ets_id;X; ;dpe_ets; ; ;logement;Identifiant technique de l'espace tampon solarisé
dpe_baie_ets;id;X; ; ; ; ;logement;Identifiant technique de la baie de l'espace tampon solarisé
dpe_baie_ets;nb_baie;X;Numérique; ; ; ;logement;nombre de baies
